source,target,color,vuln_score,hygiene_color,vuln_weight,hygiene_weight,time
pdfminer-six,cryptography,#74b9ff,#d500f9,#d500f9,0,0,2023-12-11T09:56:39+05:30
pdfminer-six,typing-extensions,#74b9ff,#d500f9,#d500f9,0,0,2023-12-11T09:56:39+05:30
pdfminer-six,pillow,#74b9ff,#d500f9,#d500f9,0,0,2023-12-11T09:56:39+05:30
pdfminer-six,charset-normalizer,#74b9ff,#d500f9,#d500f9,0,0,2023-12-11T09:56:39+05:30
pdfminer-six,sphinx-argparse,#74b9ff,#d500f9,#d500f9,0,0,2023-12-11T09:56:39+05:30
sphinxcontrib-qthelp,docutils-stubs,#74b9ff,#d500f9,#d500f9,0,0,2023-12-11T09:56:39+05:30
rich,ipywidgets,#e91e63,#d500f9,#d500f9,0,0,2023-12-11T09:56:39+05:30
rich,markdown-it-py,#e91e63,#d500f9,#d500f9,0,0,2023-12-11T09:56:39+05:30
rich,pygments,#e91e63,#d500f9,#d500f9,0,0,2023-12-11T09:56:39+05:30
rich,typing-extensions,#e91e63,#d500f9,#d500f9,0,0,2023-12-11T09:56:39+05:30
cookiecutter,whichcraft,#7e57c2,#d500f9,#d500f9,0,0,2023-12-11T10:56:39+05:30
cookiecutter,requests,#7e57c2,#d500f9,#d500f9,0,0,2023-12-11T10:56:39+05:30
cookiecutter,six,#7e57c2,#d500f9,#d500f9,0,0,2023-12-11T10:56:39+05:30
cookiecutter,binaryornot,#7e57c2,#d500f9,#d500f9,0,0,2023-12-11T10:56:39+05:30
cookiecutter,jinja2,#7e57c2,#d500f9,#d500f9,0,0,2023-12-11T10:56:39+05:30
cookiecutter,click,#7e57c2,#d500f9,#d500f9,0,0,2023-12-11T10:56:39+05:30
cookiecutter,jinja2-time,#7e57c2,#d500f9,#d500f9,0,0,2023-12-11T10:56:39+05:30
cookiecutter,poyo,#7e57c2,#d500f9,#d500f9,0,0,2023-12-11T10:56:39+05:30
cookiecutter,python-slugify,#7e57c2,#d500f9,#d500f9,0,0,2023-12-11T10:56:39+05:30
sacrebleu,typing,#7e57c2,#d500f9,#d500f9,0,0,2023-12-11T10:56:39+05:30
sacrebleu,portalocker,#7e57c2,#d500f9,#d500f9,0,0,2023-12-11T10:56:39+05:30
update-checker,requests,#74b9ff,#d500f9,#d500f9,0,0,2023-12-11T09:56:39+05:30
