id,node_color,vuln_color,hygiene_color,node_value,type,vuln_score,hygiene_score
wmi,#7e57c2,#7e57c2,#7e57c2,2,2,0,-1
pywin32,#74b9ff,#74b9ff,#74b9ff,1,1,0,-1
pytest-mypy,#7e57c2,#7e57c2,#7e57c2,2,2,0,-1
filelock,#74b9ff,#74b9ff,#f48fb1,1,1,0,3
mypy,#74b9ff,#74b9ff,#74b9ff,1,1,0,-1
pytest,#74b9ff,#74b9ff,#f48fb1,1,1,0,3
attrs,#74b9ff,#74b9ff,#74b9ff,1,1,0,2
aioquic,#7e57c2,#7e57c2,#7e57c2,2,2,0,-1
certifi,#74b9ff,#74b9ff,#f48fb1,1,1,0,3
cryptography,#74b9ff,#E64A19,#74b9ff,1,1,6,1
pylsqpack,#d500f9,#d500f9,#d500f9,3,3,0,-1
pyopenssl,#7e57c2,#7e57c2,#7e57c2,2,2,0,-1
pyamg,#7e57c2,#7e57c2,#7e57c2,2,2,0,-1
numpy,#74b9ff,#74b9ff,#74b9ff,1,1,0,1
scipy,#74b9ff,#E64A19,#f48fb1,1,1,6,3
googleapis-common-protos,#74b9ff,#74b9ff,#f48fb1,1,1,0,3
grpcio,#74b9ff,#74b9ff,#f48fb1,1,1,0,3
cupy-cuda12x,#7e57c2,#7e57c2,#7e57c2,2,2,0,-1
optuna,#7e57c2,#7e57c2,#7e57c2,2,2,0,-1
types-setuptools,#7e57c2,#7e57c2,#7e57c2,2,2,0,-1
fastrlock,#d500f9,#d500f9,#d500f9,3,3,0,-1
cython,#7e57c2,#7e57c2,#7e57c2,2,2,0,-1
pyvespa,#74b9ff,#74b9ff,#74b9ff,1,1,0,-1
requests,#74b9ff,#74b9ff,#74b9ff,1,1,0,1
jinja2,#74b9ff,#74b9ff,#f48fb1,1,1,0,3
docker,#74b9ff,#74b9ff,#f48fb1,1,1,0,4
onnxruntime,#74b9ff,#74b9ff,#74b9ff,1,1,0,-1
aiohttp,#74b9ff,#E64A19,#f48fb1,1,1,7,3
tenacity,#74b9ff,#74b9ff,#f48fb1,1,1,0,4
pandas,#74b9ff,#74b9ff,#f48fb1,1,1,0,3
pyasn1-modules,#e91e63,#74b9ff,#e91e63,1,1,0,10
pyasn1,#e91e63,#74b9ff,#e91e63,1,1,0,10
aiosqlite,#74b9ff,#74b9ff,#ff4081,1,1,0,6
aiounittest,#7e57c2,#7e57c2,#7e57c2,2,2,0,-1
typing_extensions,#7e57c2,#7e57c2,#7e57c2,2,2,0,-1
pyre-extensions,#74b9ff,#74b9ff,#74b9ff,1,1,0,-1
typing-inspect,#74b9ff,#74b9ff,#f48fb1,1,1,0,5
typing-extensions,#e91e63,#74b9ff,#e91e63,1,1,0,10
prawcore,#74b9ff,#74b9ff,#f48fb1,1,1,0,4
urllib3,#74b9ff,#74b9ff,#74b9ff,1,1,0,0
google-cloud-storage,#74b9ff,#74b9ff,#74b9ff,1,1,0,1
google-api-core,#74b9ff,#74b9ff,#74b9ff,1,1,0,2
google-cloud-core,#74b9ff,#74b9ff,#f48fb1,1,1,0,3
google-resumable-media,#74b9ff,#74b9ff,#74b9ff,1,1,0,2
google-crc32c,#74b9ff,#74b9ff,#f48fb1,1,1,0,3
jupyter-lsp,#74b9ff,#74b9ff,#f48fb1,1,1,0,3
jupyter-server,#e91e63,#fdd835,#e91e63,1,1,4,10
importlib-metadata,#74b9ff,#74b9ff,#f48fb1,1,1,0,3
cassio,#e91e63,#74b9ff,#e91e63,1,1,0,10
cassandra-driver,#74b9ff,#74b9ff,#f48fb1,1,1,0,3
jsonschema,#74b9ff,#74b9ff,#f48fb1,1,1,0,4
importlib-resources,#74b9ff,#74b9ff,#f48fb1,1,1,0,4
rfc3987,#7e57c2,#7e57c2,#7e57c2,2,2,0,-1
pkgutil-resolve-name,#e91e63,#74b9ff,#e91e63,1,1,0,10
rfc3986-validator,#74b9ff,#74b9ff,#ff4081,1,1,0,7
fqdn,#74b9ff,#74b9ff,#f48fb1,1,1,0,5
isoduration,#74b9ff,#74b9ff,#ff4081,1,1,0,6
jsonpointer,#74b9ff,#74b9ff,#74b9ff,1,1,0,-1
idna,#74b9ff,#74b9ff,#74b9ff,1,1,0,-1
rfc3339-validator,#74b9ff,#74b9ff,#ff4081,1,1,0,6
jsonschema-specifications,#e91e63,#74b9ff,#e91e63,1,1,0,10
referencing,#e91e63,#74b9ff,#e91e63,1,1,0,10
webcolors,#74b9ff,#74b9ff,#74b9ff,1,1,0,-1
uri-template,#74b9ff,#74b9ff,#74b9ff,1,1,0,-1
rpds-py,#e91e63,#74b9ff,#e91e63,1,1,0,10
gradio,#7e57c2,#7e57c2,#7e57c2,2,2,0,-1
typer[all],#d500f9,#d500f9,#d500f9,3,3,0,-1
authlib,#74b9ff,#74b9ff,#f48fb1,1,1,0,3
pyyaml,#74b9ff,#74b9ff,#f48fb1,1,1,0,3
fastapi,#74b9ff,#74b9ff,#f48fb1,1,1,0,4
markupsafe,#74b9ff,#74b9ff,#f48fb1,1,1,0,3
packaging,#74b9ff,#74b9ff,#74b9ff,1,1,0,-1
matplotlib,#7e57c2,#7e57c2,#7e57c2,2,2,0,-1
tomlkit,#74b9ff,#74b9ff,#f48fb1,1,1,0,5
huggingface-hub,#74b9ff,#74b9ff,#f48fb1,1,1,0,3
orjson,#74b9ff,#74b9ff,#f48fb1,1,1,0,4
pillow,#74b9ff,#74b9ff,#74b9ff,1,1,0,2
aiofiles,#74b9ff,#74b9ff,#f48fb1,1,1,0,5
ffmpy,#d500f9,#d500f9,#d500f9,3,3,0,-1
python-multipart,#7e57c2,#7e57c2,#7e57c2,2,2,0,-1
gradio-client,#d500f9,#d500f9,#d500f9,3,3,0,-1
httpx,#74b9ff,#74b9ff,#74b9ff,1,1,0,2
uvicorn,#74b9ff,#74b9ff,#f48fb1,1,1,0,3
pydantic,#e91e63,#74b9ff,#e91e63,1,1,0,10
semantic-version,#d500f9,#d500f9,#d500f9,3,3,0,-1
pydub,#7e57c2,#7e57c2,#7e57c2,2,2,0,-1
altair,#74b9ff,#74b9ff,#74b9ff,1,1,0,-1
ppft,#74b9ff,#74b9ff,#ff4081,1,1,0,6
dill,#74b9ff,#74b9ff,#f48fb1,1,1,0,4
ml-datasets,#7e57c2,#7e57c2,#7e57c2,2,2,0,-1
tqdm,#74b9ff,#74b9ff,#f48fb1,1,1,0,4
srsly,#74b9ff,#74b9ff,#f48fb1,1,1,0,5
catalogue,#74b9ff,#74b9ff,#ff4081,1,1,0,6
langserve,#e91e63,#74b9ff,#e91e63,1,1,0,10
httpx-sse,#e91e63,#74b9ff,#e91e63,1,1,0,10
langchain,#AEEA00,#AEEA00,#AEEA00,0,0,0,-1
sse-starlette,#74b9ff,#74b9ff,#f48fb1,1,1,0,5
pyjwt,#74b9ff,#74b9ff,#f48fb1,1,1,0,3
pre-commit,#7e57c2,#7e57c2,#7e57c2,2,2,0,-1
grpc-gateway-protoc-gen-openapiv2,#7e57c2,#7e57c2,#7e57c2,2,2,0,-1
pytest-cov,#74b9ff,#74b9ff,#f48fb1,1,1,0,5
pytest-xdist,#7e57c2,#7e57c2,#7e57c2,2,2,0,-1
coverage[toml],#7e57c2,#7e57c2,#7e57c2,2,2,0,-1
jupyter_sphinx,#7e57c2,#7e57c2,#7e57c2,2,2,0,-1
nbconvert,#74b9ff,#74b9ff,#74b9ff,1,1,0,-1
nbformat,#74b9ff,#74b9ff,#74b9ff,1,1,0,-1
sphinx,#74b9ff,#74b9ff,#f48fb1,1,1,0,5
ipywidgets,#74b9ff,#74b9ff,#74b9ff,1,1,0,-1
ipython,#74b9ff,#74b9ff,#f48fb1,1,1,0,4
pydeck,#74b9ff,#74b9ff,#f48fb1,1,1,0,3
traitlets,#74b9ff,#74b9ff,#f48fb1,1,1,0,4
opt-einsum,#74b9ff,#74b9ff,#f48fb1,1,1,0,4
numpydoc,#74b9ff,#74b9ff,#74b9ff,1,1,0,-1
pytest-pep8,#7e57c2,#7e57c2,#7e57c2,2,2,0,-1
zipp,#74b9ff,#74b9ff,#f48fb1,1,1,0,3
validators,#e91e63,#74b9ff,#e91e63,1,1,0,10
mkdocs-git-revision-date-localized-plugin,#7e57c2,#7e57c2,#7e57c2,2,2,0,-1
docrepr,#7e57c2,#7e57c2,#7e57c2,2,2,0,-1
docutils,#74b9ff,#74b9ff,#74b9ff,1,1,0,-1
pytest-asyncio,#74b9ff,#74b9ff,#f48fb1,1,1,0,5
freezegun,#74b9ff,#74b9ff,#f48fb1,1,1,0,5
python-dateutil,#74b9ff,#74b9ff,#f48fb1,1,1,0,4
flax,#7e57c2,#7e57c2,#7e57c2,2,2,0,-1
rich,#e91e63,#74b9ff,#e91e63,1,1,0,10
jaxlib,#7e57c2,#7e57c2,#7e57c2,2,2,0,-1
jax,#7e57c2,#7e57c2,#7e57c2,2,2,0,-1
ml-collections,#d500f9,#d500f9,#d500f9,3,3,0,-1
tensorflow-text,#74b9ff,#74b9ff,#f48fb1,1,1,0,4
tensorflow,#74b9ff,#74b9ff,#74b9ff,1,1,0,-1
tensorflow-datasets,#7e57c2,#7e57c2,#7e57c2,2,2,0,-1
optax,#7e57c2,#7e57c2,#7e57c2,2,2,0,-1
tensorstore,#d500f9,#d500f9,#d500f9,3,3,0,-1
orbax,#d500f9,#d500f9,#d500f9,3,3,0,-1
msgpack,#74b9ff,#74b9ff,#f48fb1,1,1,0,4
grpcio-tools,#74b9ff,#74b9ff,#74b9ff,1,1,0,-1
setuptools,#74b9ff,#74b9ff,#f48fb1,1,1,0,4
gptcache,#e91e63,#74b9ff,#e91e63,1,1,0,10
cachetools,#74b9ff,#74b9ff,#74b9ff,1,1,0,2
brotlipy,#7e57c2,#7e57c2,#7e57c2,2,2,0,-1
cffi,#e91e63,#74b9ff,#e91e63,1,1,0,10
enum34,#7e57c2,#7e57c2,#7e57c2,2,2,0,-1
argon2-cffi-bindings,#74b9ff,#74b9ff,#f48fb1,1,1,0,3
gitpython,#74b9ff,#74b9ff,#f48fb1,1,1,0,3
babel,#74b9ff,#74b9ff,#f48fb1,1,1,0,4
mkdocs,#7e57c2,#7e57c2,#7e57c2,2,2,0,-1
google-auth-httplib2,#74b9ff,#74b9ff,#74b9ff,1,1,0,2
google-auth,#74b9ff,#74b9ff,#74b9ff,1,1,0,1
httplib2,#74b9ff,#74b9ff,#f48fb1,1,1,0,4
requests-auth-aws-sigv4,#7e57c2,#7e57c2,#7e57c2,2,2,0,-1
prometheus-flask-exporter,#7e57c2,#7e57c2,#7e57c2,2,2,0,-1
prometheus-client,#74b9ff,#74b9ff,#f48fb1,1,1,0,3
flask,#7e57c2,#7e57c2,#7e57c2,2,2,0,-1
grpcio-status,#74b9ff,#74b9ff,#74b9ff,1,1,0,-1
grpcio-gcp,#7e57c2,#7e57c2,#7e57c2,2,2,0,-1
pinecone-client,#74b9ff,#74b9ff,#74b9ff,1,1,0,-1
protobuf,#74b9ff,#74b9ff,#74b9ff,1,1,0,-1
lz4,#74b9ff,#74b9ff,#f48fb1,1,1,0,5
executing,#74b9ff,#74b9ff,#f48fb1,1,1,0,5
asttokens,#74b9ff,#74b9ff,#f48fb1,1,1,0,4
cma,#d500f9,#d500f9,#d500f9,3,3,0,-1
xgboost,#7e57c2,#7e57c2,#7e57c2,2,2,0,-1
fastai,#7e57c2,#7e57c2,#7e57c2,2,2,0,-1
redis,#74b9ff,#74b9ff,#74b9ff,1,1,0,2
scikit-learn,#74b9ff,#74b9ff,#f48fb1,1,1,0,4
pytorch-ignite,#d500f9,#d500f9,#d500f9,3,3,0,-1
fakeredis[lua],#d500f9,#d500f9,#d500f9,3,3,0,-1
sphinx-copybutton,#74b9ff,#74b9ff,#74b9ff,1,1,0,-1
plotly,#7e57c2,#7e57c2,#7e57c2,2,2,0,-1
distributed,#7e57c2,#7e57c2,#7e57c2,2,2,0,-1
boto3,#74b9ff,#74b9ff,#74b9ff,1,1,0,2
mypy-boto3-s3,#d500f9,#d500f9,#d500f9,3,3,0,-1
colorlog,#d500f9,#d500f9,#d500f9,3,3,0,-1
torch,#74b9ff,#74b9ff,#74b9ff,1,1,0,-1
sqlalchemy,#74b9ff,#74b9ff,#f48fb1,1,1,0,4
types-pyyaml,#74b9ff,#74b9ff,#f48fb1,1,1,0,4
pytorch-lightning,#d500f9,#d500f9,#d500f9,3,3,0,-1
cmaes,#d500f9,#d500f9,#d500f9,3,3,0,-1
torchaudio,#7e57c2,#7e57c2,#7e57c2,2,2,0,-1
lightgbm,#d500f9,#d500f9,#d500f9,3,3,0,-1
sphinx-plotly-directive,#d500f9,#d500f9,#d500f9,3,3,0,-1
wandb,#d500f9,#d500f9,#d500f9,3,3,0,-1
