source,target,color,vuln_score,hygiene_color,vuln_weight,hygiene_weight,time
pytest-gitignore,pytest,#7e57c2,#d500f9,#d500f9,0,0,2023-12-11T10:56:36+05:30
sqlalchemy,pg8000,#74b9ff,#d500f9,#d500f9,0,0,2023-12-11T09:56:36+05:30
sqlalchemy,psycopg,#74b9ff,#d500f9,#d500f9,0,0,2023-12-11T09:56:36+05:30
sqlalchemy,sqlcipher3-binary,#74b9ff,#d500f9,#d500f9,0,0,2023-12-11T09:56:36+05:30
sqlalchemy,pymssql,#74b9ff,#d500f9,#d500f9,0,0,2023-12-11T09:56:36+05:30
sqlalchemy,asyncpg,#74b9ff,#d500f9,#d500f9,0,0,2023-12-11T09:56:36+05:30
sqlalchemy,mypy,#74b9ff,#d500f9,#d500f9,0,0,2023-12-11T09:56:36+05:30
sqlalchemy,mysqlclient,#74b9ff,#d500f9,#d500f9,0,0,2023-12-11T09:56:36+05:30
sqlalchemy,psycopg2-binary,#74b9ff,#d500f9,#d500f9,0,0,2023-12-11T09:56:36+05:30
sqlalchemy,psycopg2cffi,#74b9ff,#d500f9,#d500f9,0,0,2023-12-11T09:56:36+05:30
sqlalchemy,psycopg[binary],#74b9ff,#d500f9,#d500f9,0,0,2023-12-11T09:56:36+05:30
sqlalchemy,greenlet,#74b9ff,#d500f9,#d500f9,0,0,2023-12-11T09:56:36+05:30
sqlalchemy,aiomysql,#74b9ff,#d500f9,#d500f9,0,0,2023-12-11T09:56:36+05:30
sqlalchemy,pyodbc,#74b9ff,#d500f9,#d500f9,0,0,2023-12-11T09:56:36+05:30
sqlalchemy,cx-oracle,#74b9ff,#d500f9,#d500f9,0,0,2023-12-11T09:56:36+05:30
sqlalchemy,oracledb,#74b9ff,#d500f9,#d500f9,0,0,2023-12-11T09:56:36+05:30
sqlalchemy,psycopg2,#74b9ff,#d500f9,#d500f9,0,0,2023-12-11T09:56:36+05:30
sqlalchemy,pymysql,#74b9ff,#d500f9,#d500f9,0,0,2023-12-11T09:56:36+05:30
sqlalchemy,aioodbc,#74b9ff,#d500f9,#d500f9,0,0,2023-12-11T09:56:36+05:30
sqlalchemy,asyncmy,#74b9ff,#d500f9,#d500f9,0,0,2023-12-11T09:56:36+05:30
sqlalchemy,aiosqlite,#74b9ff,#d500f9,#d500f9,0,0,2023-12-11T09:56:36+05:30
sqlalchemy,mariadb,#74b9ff,#d500f9,#d500f9,0,0,2023-12-11T09:56:36+05:30
sqlalchemy,mysql-connector-python,#74b9ff,#d500f9,#d500f9,0,0,2023-12-11T09:56:36+05:30
sqlalchemy,typing-extensions,#74b9ff,#d500f9,#d500f9,0,0,2023-12-11T09:56:36+05:30
sqlalchemy,importlib-metadata,#74b9ff,#d500f9,#d500f9,0,0,2023-12-11T09:56:36+05:30
cffi,pycparser,#e91e63,#d500f9,#d500f9,0,0,2023-12-11T09:56:36+05:30
gradio,packaging,#7e57c2,#d500f9,#d500f9,0,0,2023-12-11T10:56:36+05:30
gradio,pandas,#7e57c2,#d500f9,#d500f9,0,0,2023-12-11T10:56:36+05:30
gradio,pydub,#7e57c2,#d500f9,#d500f9,0,0,2023-12-11T10:56:36+05:30
gradio,pyyaml,#7e57c2,#d500f9,#d500f9,0,0,2023-12-11T10:56:36+05:30
gradio,itsdangerous,#7e57c2,#d500f9,#d500f9,0,0,2023-12-11T10:56:36+05:30
gradio,fastapi,#7e57c2,#d500f9,#d500f9,0,0,2023-12-11T10:56:36+05:30
gradio,markupsafe,#7e57c2,#d500f9,#d500f9,0,0,2023-12-11T10:56:36+05:30
gradio,matplotlib,#7e57c2,#d500f9,#d500f9,0,0,2023-12-11T10:56:36+05:30
gradio,python-multipart,#7e57c2,#d500f9,#d500f9,0,0,2023-12-11T10:56:36+05:30
gradio,tomlkit,#7e57c2,#d500f9,#d500f9,0,0,2023-12-11T10:56:36+05:30
gradio,altair,#7e57c2,#d500f9,#d500f9,0,0,2023-12-11T10:56:36+05:30
gradio,ffmpy,#7e57c2,#d500f9,#d500f9,0,0,2023-12-11T10:56:36+05:30
gradio,orjson,#7e57c2,#d500f9,#d500f9,0,0,2023-12-11T10:56:36+05:30
gradio,requests,#7e57c2,#d500f9,#d500f9,0,0,2023-12-11T10:56:36+05:30
gradio,huggingface-hub,#7e57c2,#d500f9,#d500f9,0,0,2023-12-11T10:56:36+05:30
gradio,jinja2,#7e57c2,#d500f9,#d500f9,0,0,2023-12-11T10:56:36+05:30
gradio,pillow,#7e57c2,#d500f9,#d500f9,0,0,2023-12-11T10:56:36+05:30
gradio,authlib,#7e57c2,#d500f9,#d500f9,0,0,2023-12-11T10:56:36+05:30
gradio,aiofiles,#7e57c2,#d500f9,#d500f9,0,0,2023-12-11T10:56:36+05:30
gradio,typing-extensions,#7e57c2,#d500f9,#d500f9,0,0,2023-12-11T10:56:36+05:30
gradio,uvicorn,#7e57c2,#d500f9,#d500f9,0,0,2023-12-11T10:56:36+05:30
gradio,importlib-resources,#7e57c2,#d500f9,#d500f9,0,0,2023-12-11T10:56:36+05:30
gradio,typer[all],#7e57c2,#d500f9,#d500f9,0,0,2023-12-11T10:56:36+05:30
gradio,numpy,#7e57c2,#d500f9,#d500f9,0,0,2023-12-11T10:56:36+05:30
gradio,pydantic,#7e57c2,#d500f9,#d500f9,0,0,2023-12-11T10:56:36+05:30
gradio,semantic-version,#7e57c2,#d500f9,#d500f9,0,0,2023-12-11T10:56:36+05:30
gradio,gradio-client,#7e57c2,#d500f9,#d500f9,0,0,2023-12-11T10:56:36+05:30
gradio,httpx,#7e57c2,#d500f9,#d500f9,0,0,2023-12-11T10:56:36+05:30
sqlalchemy-singlestoredb,singlestoredb,#7e57c2,#d500f9,#d500f9,0,0,2023-12-11T10:56:36+05:30
sqlalchemy-singlestoredb,sqlalchemy,#7e57c2,#d500f9,#d500f9,0,0,2023-12-11T10:56:36+05:30
texext,pytest,#7e57c2,#d500f9,#d500f9,0,0,2023-12-11T10:56:36+05:30
texext,sphinxtesters,#7e57c2,#d500f9,#d500f9,0,0,2023-12-11T10:56:36+05:30
texext,sphinx,#7e57c2,#d500f9,#d500f9,0,0,2023-12-11T10:56:36+05:30
texext,docutils,#7e57c2,#d500f9,#d500f9,0,0,2023-12-11T10:56:36+05:30
texext,sympy,#7e57c2,#d500f9,#d500f9,0,0,2023-12-11T10:56:36+05:30
texext,matplotlib,#7e57c2,#d500f9,#d500f9,0,0,2023-12-11T10:56:36+05:30
sphinx-version-warning,sphinx,#7e57c2,#d500f9,#d500f9,0,0,2023-12-11T10:56:36+05:30
pythainlp,keras,#7e57c2,#d500f9,#d500f9,0,0,2023-12-11T10:56:36+05:30
pythainlp,tensorflow,#7e57c2,#d500f9,#d500f9,0,0,2023-12-11T10:56:36+05:30
pythainlp,dill,#7e57c2,#d500f9,#d500f9,0,0,2023-12-11T10:56:36+05:30
pythainlp,pytz,#7e57c2,#d500f9,#d500f9,0,0,2023-12-11T10:56:36+05:30
pythainlp,requests,#7e57c2,#d500f9,#d500f9,0,0,2023-12-11T10:56:36+05:30
