id,node_color,vuln_color,hygiene_color,node_value,type,vuln_score,hygiene_score
python-socks,#7e57c2,#7e57c2,#7e57c2,2,2,0,-1
trio,#7e57c2,#7e57c2,#7e57c2,2,2,0,-1
anyio,#74b9ff,#74b9ff,#f48fb1,1,1,0,4
async-timeout,#74b9ff,#74b9ff,#f48fb1,1,1,0,4
curio,#7e57c2,#7e57c2,#7e57c2,2,2,0,-1
seaborn,#7e57c2,#7e57c2,#7e57c2,2,2,0,-1
matplotlib,#7e57c2,#7e57c2,#7e57c2,2,2,0,-1
numpy,#74b9ff,#74b9ff,#74b9ff,1,1,0,1
pandas,#74b9ff,#74b9ff,#f48fb1,1,1,0,3
scipy,#74b9ff,#E64A19,#f48fb1,1,1,6,3
blis,#74b9ff,#74b9ff,#f48fb1,1,1,0,5
mdit-py-plugins,#74b9ff,#74b9ff,#f48fb1,1,1,0,5
pre-commit,#7e57c2,#7e57c2,#7e57c2,2,2,0,-1
attrs,#74b9ff,#74b9ff,#74b9ff,1,1,0,2
sphinx-book-theme,#74b9ff,#74b9ff,#74b9ff,1,1,0,-1
pytest-cov,#74b9ff,#74b9ff,#f48fb1,1,1,0,5
markdown-it-py,#74b9ff,#74b9ff,#f48fb1,1,1,0,4
myst-parser,#74b9ff,#74b9ff,#74b9ff,1,1,0,-1
coverage,#74b9ff,#74b9ff,#74b9ff,1,1,0,1
pytest,#74b9ff,#74b9ff,#f48fb1,1,1,0,3
pytest-regressions,#7e57c2,#7e57c2,#7e57c2,2,2,0,-1
mkdocs-material,#7e57c2,#7e57c2,#7e57c2,2,2,0,-1
jinja2,#74b9ff,#74b9ff,#f48fb1,1,1,0,3
markdown,#74b9ff,#74b9ff,#74b9ff,1,1,0,-1
mkdocs,#7e57c2,#7e57c2,#7e57c2,2,2,0,-1
mkdocs-material-extensions,#d500f9,#d500f9,#d500f9,3,3,0,-1
pygments,#74b9ff,#74b9ff,#f48fb1,1,1,0,3
pymdown-extensions,#d500f9,#d500f9,#d500f9,3,3,0,-1
twisted,#7e57c2,#7e57c2,#7e57c2,2,2,0,-1
bcrypt,#7e57c2,#7e57c2,#7e57c2,2,2,0,-1
priority,#d500f9,#d500f9,#d500f9,3,3,0,-1
service-identity,#7e57c2,#7e57c2,#7e57c2,2,2,0,-1
pywin32,#74b9ff,#74b9ff,#74b9ff,1,1,0,-1
pyopenssl,#7e57c2,#7e57c2,#7e57c2,2,2,0,-1
incremental,#d500f9,#d500f9,#d500f9,3,3,0,-1
typing-extensions,#e91e63,#74b9ff,#e91e63,1,1,0,10
towncrier,#7e57c2,#7e57c2,#7e57c2,2,2,0,-1
pyserial,#d500f9,#d500f9,#d500f9,3,3,0,-1
hypothesis,#7e57c2,#7e57c2,#7e57c2,2,2,0,-1
twisted-iocpsupport,#d500f9,#d500f9,#d500f9,3,3,0,-1
sphinx-rtd-theme,#74b9ff,#74b9ff,#ff4081,1,1,0,6
sphinx,#74b9ff,#74b9ff,#f48fb1,1,1,0,5
cython-test-exception-raiser,#d500f9,#d500f9,#d500f9,3,3,0,-1
pyobjc-framework-cocoa,#7e57c2,#7e57c2,#7e57c2,2,2,0,-1
"twisted[conch,http2,serial,test,tls]",#d500f9,#d500f9,#d500f9,3,3,0,-1
pyflakes,#d500f9,#d500f9,#d500f9,3,3,0,-1
pyobjc-core,#d500f9,#d500f9,#d500f9,3,3,0,-1
types-setuptools,#7e57c2,#7e57c2,#7e57c2,2,2,0,-1
twisted[macos-platform],#d500f9,#d500f9,#d500f9,3,3,0,-1
pyhamcrest,#d500f9,#d500f9,#d500f9,3,3,0,-1
pygobject,#d500f9,#d500f9,#d500f9,3,3,0,-1
twisted[all-non-platform],#d500f9,#d500f9,#d500f9,3,3,0,-1
mypy,#74b9ff,#74b9ff,#74b9ff,1,1,0,-1
"twisted[all-non-platform,dev]",#d500f9,#d500f9,#d500f9,3,3,0,-1
twisted[dev-release],#d500f9,#d500f9,#d500f9,3,3,0,-1
twistedchecker,#d500f9,#d500f9,#d500f9,3,3,0,-1
automat,#d500f9,#d500f9,#d500f9,3,3,0,-1
