id,node_color,vuln_color,hygiene_color,node_value,type,vuln_score,hygiene_score
cffi,#74b9ff,#74b9ff,#74b9ff,1,1,0,-1
pycparser,#74b9ff,#74b9ff,#74b9ff,1,1,0,-1
hypothesis,#7e57c2,#7e57c2,#7e57c2,2,2,0,-1
libcst,#d500f9,#d500f9,#d500f9,3,3,0,-1
numpy,#d500f9,#d500f9,#d500f9,3,3,0,-1
pytz,#74b9ff,#74b9ff,#74b9ff,1,1,0,-1
exceptiongroup,#d500f9,#d500f9,#d500f9,3,3,0,-1
dpcontracts,#d500f9,#d500f9,#d500f9,3,3,0,-1
pytest,#7e57c2,#7e57c2,#7e57c2,2,2,0,-1
click,#d500f9,#d500f9,#d500f9,3,3,0,-1
django,#7e57c2,#7e57c2,#7e57c2,2,2,0,-1
python-dateutil,#d500f9,#d500f9,#d500f9,3,3,0,-1
sortedcontainers,#d500f9,#d500f9,#d500f9,3,3,0,-1
black,#7e57c2,#7e57c2,#7e57c2,2,2,0,-1
tzdata,#d500f9,#d500f9,#d500f9,3,3,0,-1
redis,#d500f9,#d500f9,#d500f9,3,3,0,-1
attrs,#d500f9,#d500f9,#d500f9,3,3,0,-1
pandas,#d500f9,#d500f9,#d500f9,3,3,0,-1
rich,#d500f9,#d500f9,#d500f9,3,3,0,-1
lark,#d500f9,#d500f9,#d500f9,3,3,0,-1
backports.zoneinfo,#d500f9,#d500f9,#d500f9,3,3,0,-1
mysql-connector-python,#7e57c2,#7e57c2,#7e57c2,2,2,0,-1
zipp,#74b9ff,#74b9ff,#f48fb1,1,1,0,3
protobuf,#d500f9,#d500f9,#d500f9,3,3,0,-1
lz4,#d500f9,#d500f9,#d500f9,3,3,0,-1
zstandard,#d500f9,#d500f9,#d500f9,3,3,0,-1
dnspython,#d500f9,#d500f9,#d500f9,3,3,0,-1
gssapi,#d500f9,#d500f9,#d500f9,3,3,0,-1
deprecated,#d500f9,#d500f9,#d500f9,3,3,0,-1
typing-extensions,#7e57c2,#7e57c2,#7e57c2,2,2,0,-1
sphinx-copybutton,#7e57c2,#7e57c2,#7e57c2,2,2,0,-1
ipython,#d500f9,#d500f9,#d500f9,3,3,0,-1
myst-nb,#d500f9,#d500f9,#d500f9,3,3,0,-1
sphinx-book-theme,#d500f9,#d500f9,#d500f9,3,3,0,-1
