source,target,color,vuln_score,hygiene_color,vuln_weight,hygiene_weight,time
urllib3,ipaddress,#E64A19,#d500f9,#d500f9,0,0,2023-12-19T20:47:20+05:30
urllib3,idna,#E64A19,#d500f9,#d500f9,0,0,2023-12-19T20:47:20+05:30
urllib3,brotlicffi,#E64A19,#d500f9,#d500f9,0,0,2023-12-19T20:47:20+05:30
urllib3,brotli,#E64A19,#d500f9,#d500f9,0,0,2023-12-19T20:47:20+05:30
urllib3,brotlipy,#E64A19,#d500f9,#d500f9,0,0,2023-12-19T20:47:20+05:30
urllib3,cryptography,#E64A19,#d500f9,#d500f9,0,0,2023-12-19T20:47:20+05:30
urllib3,pyopenssl,#E64A19,#d500f9,#d500f9,0,0,2023-12-19T20:47:20+05:30
argon2-cffi-bindings,cffi,#74b9ff,#d500f9,#d500f9,0,0,2023-12-19T20:47:20+05:30
requests,chardet,#74b9ff,#d500f9,#d500f9,0,0,2023-12-19T20:47:20+05:30
requests,charset-normalizer,#74b9ff,#d500f9,#d500f9,0,0,2023-12-19T20:47:20+05:30
requests,idna,#74b9ff,#d500f9,#d500f9,0,0,2023-12-19T20:47:20+05:30
requests,urllib3,#74b9ff,#E64A19,#d500f9,6,0,2023-12-19T20:47:20+05:30
requests,certifi,#74b9ff,#E64A19,#d500f9,6,1,2023-12-19T20:47:20+05:30
bcrypt,six,#7e57c2,#d500f9,#d500f9,0,0,2023-12-19T21:47:20+05:30
brotlipy,enum34,#7e57c2,#d500f9,#d500f9,0,0,2023-12-19T21:47:20+05:30
brotlipy,cffi,#7e57c2,#d500f9,#d500f9,0,0,2023-12-19T21:47:20+05:30
asgiref,typing-extensions,#74b9ff,#d500f9,#d500f9,0,0,2023-12-19T20:47:20+05:30
asgiref,pytest-asyncio,#74b9ff,#d500f9,#d500f9,0,0,2023-12-19T20:47:20+05:30
argon2-cffi,typing-extensions,#74b9ff,#d500f9,#d500f9,0,0,2023-12-19T20:47:20+05:30
argon2-cffi,dataclasses,#74b9ff,#d500f9,#d500f9,0,0,2023-12-19T20:47:20+05:30
argon2-cffi,argon2-cffi-bindings,#74b9ff,#d500f9,#d500f9,0,0,2023-12-19T20:47:20+05:30
brotlicffi,cffi,#7e57c2,#d500f9,#d500f9,0,0,2023-12-19T21:47:20+05:30
oauthlib,blinker,#74b9ff,#d500f9,#d500f9,0,0,2023-12-19T20:47:20+05:30
oauthlib,pyjwt,#74b9ff,#d500f9,#d500f9,0,0,2023-12-19T20:47:20+05:30
pre-commit,cfgv,#7e57c2,#d500f9,#d500f9,0,0,2023-12-19T21:47:20+05:30
pre-commit,identify,#7e57c2,#d500f9,#d500f9,0,0,2023-12-19T21:47:20+05:30
pre-commit,pyyaml,#7e57c2,#d500f9,#d500f9,0,0,2023-12-19T21:47:20+05:30
cffi,pycparser,#74b9ff,#d500f9,#d500f9,0,0,2023-12-19T20:47:20+05:30
django,asgiref,#7e57c2,#d500f9,#d500f9,0,0,2023-12-19T21:47:20+05:30
django,pytz,#7e57c2,#d500f9,#d500f9,0,0,2023-12-19T21:47:20+05:30
django,sqlparse,#7e57c2,#fdd835,#d500f9,3,0,2023-12-19T21:47:20+05:30
sphinx-copybutton,sphinx-book-theme,#7e57c2,#d500f9,#d500f9,0,0,2023-12-19T21:47:20+05:30
sphinx-copybutton,sphinx-examples,#7e57c2,#d500f9,#d500f9,0,0,2023-12-19T21:47:20+05:30
sphinx-copybutton,sphinx,#7e57c2,#d500f9,#d500f9,0,0,2023-12-19T21:47:20+05:30
pytest-asyncio,pytest,#7e57c2,#d500f9,#d500f9,0,0,2023-12-19T21:47:20+05:30
django-heroku,django,#e91e63,#d500f9,#d500f9,0,0,2023-12-19T20:47:20+05:30
django-heroku,dj-database-url,#e91e63,#d500f9,#f48fb1,0,4,2023-12-19T20:47:20+05:30
pytest-timeout,pytest,#7e57c2,#d500f9,#d500f9,0,0,2023-12-19T21:47:20+05:30
pillow,sphinx-copybutton,#D32F2F,#d500f9,#d500f9,0,0,2023-12-19T20:47:20+05:30
pillow,packaging,#D32F2F,#d500f9,#d500f9,0,0,2023-12-19T20:47:20+05:30
pillow,defusedxml,#D32F2F,#d500f9,#d500f9,0,0,2023-12-19T20:47:20+05:30
pillow,olefile,#D32F2F,#d500f9,#d500f9,0,0,2023-12-19T20:47:20+05:30
pillow,sphinx-removed-in,#D32F2F,#d500f9,#d500f9,0,0,2023-12-19T20:47:20+05:30
pillow,pytest-timeout,#D32F2F,#d500f9,#d500f9,0,0,2023-12-19T20:47:20+05:30
pyjwt,pre-commit,#74b9ff,#d500f9,#d500f9,0,0,2023-12-19T20:47:20+05:30
pyjwt,cryptography,#74b9ff,#fdd835,#d500f9,4,0,2023-12-19T20:47:20+05:30
django-crispy-forms,django,#74b9ff,#fdd835,#d500f9,3,0,2023-12-19T20:47:20+05:30
cryptography,pretend,#74b9ff,#d500f9,#d500f9,0,0,2023-12-19T20:47:20+05:30
cryptography,types-pytz,#74b9ff,#d500f9,#d500f9,0,0,2023-12-19T20:47:20+05:30
cryptography,types-requests,#74b9ff,#d500f9,#d500f9,0,0,2023-12-19T20:47:20+05:30
cryptography,bcrypt,#74b9ff,#d500f9,#d500f9,0,0,2023-12-19T20:47:20+05:30
requests-oauthlib,oauthlib,#74b9ff,#d500f9,#d500f9,0,2,2023-12-19T20:47:20+05:30
requests-oauthlib,requests,#74b9ff,#d500f9,#d500f9,0,0,2023-12-19T20:47:20+05:30
requests-oauthlib,oauthlib[signedtoken],#74b9ff,#d500f9,#d500f9,0,0,2023-12-19T20:47:20+05:30
sphinx,typed_ast,#7e57c2,#d500f9,#d500f9,0,0,2023-12-19T21:47:20+05:30
sphinx,types-typed-ast,#7e57c2,#d500f9,#d500f9,0,0,2023-12-19T21:47:20+05:30
sphinx,flake8-comprehensions,#7e57c2,#d500f9,#d500f9,0,0,2023-12-19T21:47:20+05:30
sphinx,packaging,#7e57c2,#d500f9,#d500f9,0,0,2023-12-19T21:47:20+05:30
sphinx,requests,#7e57c2,#d500f9,#d500f9,0,0,2023-12-19T21:47:20+05:30
sphinx,sphinxcontrib-websupport,#7e57c2,#d500f9,#d500f9,0,0,2023-12-19T21:47:20+05:30
sphinx,sphinxcontrib-htmlhelp,#7e57c2,#d500f9,#d500f9,0,0,2023-12-19T21:47:20+05:30
sphinx,types-requests,#7e57c2,#d500f9,#d500f9,0,0,2023-12-19T21:47:20+05:30
sphinx,pygments,#7e57c2,#d500f9,#d500f9,0,0,2023-12-19T21:47:20+05:30
sphinx,alabaster,#7e57c2,#d500f9,#d500f9,0,0,2023-12-19T21:47:20+05:30
sphinx,colorama,#7e57c2,#d500f9,#d500f9,0,0,2023-12-19T21:47:20+05:30
sphinx,pytest,#7e57c2,#d500f9,#d500f9,0,0,2023-12-19T21:47:20+05:30
sphinx,sphinxcontrib-devhelp,#7e57c2,#d500f9,#d500f9,0,0,2023-12-19T21:47:20+05:30
sphinx,importlib-metadata,#7e57c2,#d500f9,#d500f9,0,0,2023-12-19T21:47:20+05:30
sphinx,docutils-stubs,#7e57c2,#d500f9,#d500f9,0,0,2023-12-19T21:47:20+05:30
sphinx,sphinxcontrib-qthelp,#7e57c2,#d500f9,#d500f9,0,0,2023-12-19T21:47:20+05:30
sphinx,sphinxcontrib-jsmath,#7e57c2,#d500f9,#d500f9,0,0,2023-12-19T21:47:20+05:30
sphinx,sphinxcontrib-serializinghtml,#7e57c2,#d500f9,#d500f9,0,0,2023-12-19T21:47:20+05:30
sphinx,babel,#7e57c2,#d500f9,#d500f9,0,0,2023-12-19T21:47:20+05:30
sphinx,html5lib,#7e57c2,#d500f9,#d500f9,0,0,2023-12-19T21:47:20+05:30
sphinx,sphinxcontrib-applehelp,#7e57c2,#d500f9,#d500f9,0,0,2023-12-19T21:47:20+05:30
sphinx,docutils,#7e57c2,#d500f9,#d500f9,0,0,2023-12-19T21:47:20+05:30
sphinx,snowballstemmer,#7e57c2,#d500f9,#d500f9,0,0,2023-12-19T21:47:20+05:30
sphinx,imagesize,#7e57c2,#d500f9,#d500f9,0,0,2023-12-19T21:47:20+05:30
pydemoapp2,pyyaml,#AEEA00,#D32F2F,#d500f9,9,0,2023-12-19T19:47:20+05:30
pydemoapp2,argon2-cffi-bindings,#AEEA00,#d500f9,#d500f9,0,2,2023-12-19T19:47:20+05:30
pydemoapp2,requests-oauthlib,#AEEA00,#d500f9,#f48fb1,0,4,2023-12-19T19:47:20+05:30
pydemoapp2,argon2-cffi,#AEEA00,#d500f9,#d500f9,0,1,2023-12-19T19:47:20+05:30
pydemoapp2,defusedxml,#AEEA00,#d500f9,#d500f9,0,2,2023-12-19T19:47:20+05:30
pydemoapp2,django-crispy-forms,#AEEA00,#fdd835,#d500f9,3,0,2023-12-19T19:47:20+05:30
pydemoapp2,requirements-txt,#AEEA00,#d500f9,#d500f9,0,0,2023-12-19T19:47:20+05:30
pydemoapp2,asgiref,#AEEA00,#d500f9,#f48fb1,0,3,2023-12-19T19:47:20+05:30
pydemoapp2,pillow,#AEEA00,#E64A19,#d500f9,8,1,2023-12-19T19:47:20+05:30
pydemoapp2,requests,#AEEA00,#E64A19,#d500f9,6,1,2023-12-19T19:47:20+05:30
pydemoapp2,django-heroku,#AEEA00,#d500f9,#e91e63,0,9,2023-12-19T19:47:20+05:30
pydemoapp2,django-allauth,#AEEA00,#d500f9,#d500f9,0,0,2023-12-19T19:47:20+05:30
pydemoapp2,pyjwt,#AEEA00,#fdd835,#f48fb1,4,3,2023-12-19T19:47:20+05:30
sphinx-removed-in,sphinx,#7e57c2,#d500f9,#d500f9,0,0,2023-12-19T21:47:20+05:30
pytest,pygments,#7e57c2,#d500f9,#d500f9,0,0,2023-12-19T21:47:20+05:30
pytest,importlib-metadata,#7e57c2,#d500f9,#d500f9,0,0,2023-12-19T21:47:20+05:30
pytest,pluggy,#7e57c2,#d500f9,#d500f9,0,0,2023-12-19T21:47:20+05:30
pytest,colorama,#7e57c2,#d500f9,#d500f9,0,0,2023-12-19T21:47:20+05:30
pytest,requests,#7e57c2,#d500f9,#d500f9,0,0,2023-12-19T21:47:20+05:30
pytest,exceptiongroup,#7e57c2,#d500f9,#d500f9,0,0,2023-12-19T21:47:20+05:30
pytest,xmlschema,#7e57c2,#d500f9,#d500f9,0,0,2023-12-19T21:47:20+05:30
pytest,packaging,#7e57c2,#d500f9,#d500f9,0,0,2023-12-19T21:47:20+05:30
