id,node_color,vuln_color,hygiene_color,node_value,type,vuln_score,hygiene_score
pre-commit,#7e57c2,#7e57c2,#7e57c2,2,2,0,-1
pyyaml,#D32F2F,#D32F2F,#74b9ff,1,1,10,-1
cfgv,#d500f9,#d500f9,#d500f9,3,3,0,-1
identify,#d500f9,#d500f9,#d500f9,3,3,0,-1
cffi,#74b9ff,#74b9ff,#74b9ff,1,1,0,-1
pycparser,#74b9ff,#74b9ff,#74b9ff,1,1,0,-1
django,#7e57c2,#7e57c2,#7e57c2,2,2,0,-1
asgiref,#74b9ff,#74b9ff,#f48fb1,1,1,0,4
pytz,#74b9ff,#74b9ff,#74b9ff,1,1,0,-1
sqlparse,#74b9ff,#E64A19,#f48fb1,1,1,6,3
sphinx-copybutton,#7e57c2,#7e57c2,#7e57c2,2,2,0,-1
sphinx-book-theme,#d500f9,#d500f9,#d500f9,3,3,0,-1
sphinx-examples,#d500f9,#d500f9,#d500f9,3,3,0,-1
sphinx,#7e57c2,#7e57c2,#7e57c2,2,2,0,-1
pytest-asyncio,#7e57c2,#7e57c2,#7e57c2,2,2,0,-1
pytest,#7e57c2,#7e57c2,#7e57c2,2,2,0,-1
django-heroku,#e91e63,#74b9ff,#e91e63,1,1,0,10
dj-database-url,#74b9ff,#74b9ff,#ff4081,1,1,0,6
pytest-timeout,#7e57c2,#7e57c2,#7e57c2,2,2,0,-1
pillow,#D32F2F,#D32F2F,#74b9ff,1,1,9,2
defusedxml,#74b9ff,#74b9ff,#f48fb1,1,1,0,3
sphinx-removed-in,#7e57c2,#7e57c2,#7e57c2,2,2,0,-1
olefile,#7e57c2,#7e57c2,#7e57c2,2,2,0,-1
packaging,#7e57c2,#7e57c2,#7e57c2,2,2,0,-1
pyjwt,#74b9ff,#74b9ff,#f48fb1,1,1,0,4
cryptography,#74b9ff,#E64A19,#74b9ff,1,1,6,1
django-crispy-forms,#74b9ff,#74b9ff,#74b9ff,1,1,0,-1
types-pytz,#7e57c2,#7e57c2,#7e57c2,2,2,0,-1
types-requests,#7e57c2,#7e57c2,#7e57c2,2,2,0,-1
pretend,#7e57c2,#7e57c2,#7e57c2,2,2,0,-1
bcrypt,#7e57c2,#7e57c2,#7e57c2,2,2,0,-1
requests-oauthlib,#74b9ff,#74b9ff,#f48fb1,1,1,0,5
oauthlib,#74b9ff,#74b9ff,#f48fb1,1,1,0,4
requests,#74b9ff,#E64A19,#74b9ff,1,1,6,1
oauthlib[signedtoken],#7e57c2,#7e57c2,#7e57c2,2,2,0,-1
babel,#d500f9,#d500f9,#d500f9,3,3,0,-1
html5lib,#d500f9,#d500f9,#d500f9,3,3,0,-1
sphinxcontrib-applehelp,#d500f9,#d500f9,#d500f9,3,3,0,-1
sphinxcontrib-jsmath,#d500f9,#d500f9,#d500f9,3,3,0,-1
sphinxcontrib-serializinghtml,#d500f9,#d500f9,#d500f9,3,3,0,-1
imagesize,#d500f9,#d500f9,#d500f9,3,3,0,-1
docutils,#d500f9,#d500f9,#d500f9,3,3,0,-1
snowballstemmer,#d500f9,#d500f9,#d500f9,3,3,0,-1
typed_ast,#d500f9,#d500f9,#d500f9,3,3,0,-1
types-typed-ast,#d500f9,#d500f9,#d500f9,3,3,0,-1
flake8-comprehensions,#d500f9,#d500f9,#d500f9,3,3,0,-1
sphinxcontrib-htmlhelp,#d500f9,#d500f9,#d500f9,3,3,0,-1
sphinxcontrib-websupport,#d500f9,#d500f9,#d500f9,3,3,0,-1
alabaster,#d500f9,#d500f9,#d500f9,3,3,0,-1
pygments,#d500f9,#d500f9,#d500f9,3,3,0,-1
colorama,#d500f9,#d500f9,#d500f9,3,3,0,-1
docutils-stubs,#d500f9,#d500f9,#d500f9,3,3,0,-1
sphinxcontrib-qthelp,#d500f9,#d500f9,#d500f9,3,3,0,-1
sphinxcontrib-devhelp,#d500f9,#d500f9,#d500f9,3,3,0,-1
importlib-metadata,#d500f9,#d500f9,#d500f9,3,3,0,-1
pydemoapp2,#AEEA00,#AEEA00,#AEEA00,0,0,0,-1
django-allauth,#74b9ff,#74b9ff,#74b9ff,1,1,0,-1
argon2-cffi-bindings,#74b9ff,#74b9ff,#f48fb1,1,1,0,3
argon2-cffi,#74b9ff,#74b9ff,#74b9ff,1,1,0,2
requirements-txt,#74b9ff,#74b9ff,#74b9ff,1,1,0,-1
exceptiongroup,#d500f9,#d500f9,#d500f9,3,3,0,-1
pluggy,#d500f9,#d500f9,#d500f9,3,3,0,-1
argcomplete,#d500f9,#d500f9,#d500f9,3,3,0,-1
xmlschema,#d500f9,#d500f9,#d500f9,3,3,0,-1
tomli,#7e57c2,#7e57c2,#7e57c2,2,2,0,-1
nose,#d500f9,#d500f9,#d500f9,3,3,0,-1
iniconfig,#d500f9,#d500f9,#d500f9,3,3,0,-1
urllib3,#E64A19,#E64A19,#74b9ff,1,1,8,0
ipaddress,#7e57c2,#7e57c2,#7e57c2,2,2,0,-1
idna,#74b9ff,#74b9ff,#74b9ff,1,1,0,-1
pyopenssl,#7e57c2,#7e57c2,#7e57c2,2,2,0,-1
brotlicffi,#7e57c2,#7e57c2,#7e57c2,2,2,0,-1
brotli,#7e57c2,#7e57c2,#7e57c2,2,2,0,-1
brotlipy,#7e57c2,#7e57c2,#7e57c2,2,2,0,-1
certifi,#E64A19,#E64A19,#f48fb1,1,1,8,3
chardet,#7e57c2,#7e57c2,#7e57c2,2,2,0,-1
charset-normalizer,#74b9ff,#74b9ff,#74b9ff,1,1,0,1
six,#d500f9,#d500f9,#d500f9,3,3,0,-1
enum34,#d500f9,#d500f9,#d500f9,3,3,0,-1
typing-extensions,#7e57c2,#7e57c2,#7e57c2,2,2,0,-1
dataclasses,#7e57c2,#7e57c2,#7e57c2,2,2,0,-1
blinker,#7e57c2,#7e57c2,#7e57c2,2,2,0,-1
