source,target,color,vuln_score,hygiene_color,vuln_weight,hygiene_weight,time
pytest,nose,#7e57c2,#d500f9,#d500f9,0,0,2023-12-19T21:22:53+05:30
pytest,iniconfig,#7e57c2,#d500f9,#d500f9,0,0,2023-12-19T21:22:53+05:30
pytest,packaging,#7e57c2,#d500f9,#d500f9,0,0,2023-12-19T21:22:53+05:30
pytest,argcomplete,#7e57c2,#d500f9,#d500f9,0,0,2023-12-19T21:22:53+05:30
pytest,requests,#7e57c2,#d500f9,#d500f9,0,0,2023-12-19T21:22:53+05:30
pytest,xmlschema,#7e57c2,#d500f9,#d500f9,0,0,2023-12-19T21:22:53+05:30
pytest,exceptiongroup,#7e57c2,#d500f9,#d500f9,0,0,2023-12-19T21:22:53+05:30
pytest,tomli,#7e57c2,#d500f9,#d500f9,0,0,2023-12-19T21:22:53+05:30
pytest,importlib-metadata,#7e57c2,#d500f9,#d500f9,0,0,2023-12-19T21:22:53+05:30
pytest,colorama,#7e57c2,#d500f9,#d500f9,0,0,2023-12-19T21:22:53+05:30
pytest,pluggy,#7e57c2,#d500f9,#d500f9,0,0,2023-12-19T21:22:53+05:30
pytest,pygments,#7e57c2,#d500f9,#d500f9,0,0,2023-12-19T21:22:53+05:30
pytest-enabler,toml,#7e57c2,#d500f9,#d500f9,0,0,2023-12-19T21:22:53+05:30
pytest-enabler,jaraco.functools,#7e57c2,#d500f9,#d500f9,0,0,2023-12-19T21:22:53+05:30
pytest-enabler,jaraco.packaging,#7e57c2,#d500f9,#d500f9,0,0,2023-12-19T21:22:53+05:30
pytest-enabler,pytest-cov,#7e57c2,#d500f9,#d500f9,0,0,2023-12-19T21:22:53+05:30
pytest-enabler,jaraco.context,#7e57c2,#d500f9,#d500f9,0,0,2023-12-19T21:22:53+05:30
jaraco.itertools,inflect,#7e57c2,#d500f9,#d500f9,0,0,2023-12-19T21:22:53+05:30
jaraco.itertools,more-itertools,#7e57c2,#d500f9,#d500f9,0,0,2023-12-19T21:22:53+05:30
brotlicffi,cffi,#7e57c2,#d500f9,#d500f9,0,0,2023-12-19T21:22:53+05:30
pytest-shard,pytest,#7e57c2,#d500f9,#d500f9,0,0,2023-12-19T21:22:53+05:30
sphinx-notfound-page,sphinxemoji,#7e57c2,#d500f9,#d500f9,0,0,2023-12-19T21:22:53+05:30
sphinx-notfound-page,sphinx-autoapi,#7e57c2,#d500f9,#d500f9,0,0,2023-12-19T21:22:53+05:30
sphinx-notfound-page,sphinx,#7e57c2,#d500f9,#d500f9,0,0,2023-12-19T21:22:53+05:30
sphinx-notfound-page,sphinx-tabs,#7e57c2,#d500f9,#d500f9,0,0,2023-12-19T21:22:53+05:30
sphinx-notfound-page,sphinx-rtd-theme,#7e57c2,#d500f9,#d500f9,0,0,2023-12-19T21:22:53+05:30
whitenoise,brotli,#74b9ff,#d500f9,#d500f9,0,0,2023-12-19T20:22:53+05:30
mypy,typing-extensions,#7e57c2,#d500f9,#d500f9,0,0,2023-12-19T21:22:53+05:30
mypy,mypy-extensions,#7e57c2,#d500f9,#d500f9,0,0,2023-12-19T21:22:53+05:30
mypy,psutil,#7e57c2,#d500f9,#d500f9,0,0,2023-12-19T21:22:53+05:30
mypy,typed-ast,#7e57c2,#d500f9,#d500f9,0,0,2023-12-19T21:22:53+05:30
sphinx-removed-in,sphinx,#7e57c2,#d500f9,#d500f9,0,0,2023-12-19T21:22:53+05:30
markdown2,wavedrom,#7e57c2,#d500f9,#d500f9,0,0,2023-12-19T21:22:53+05:30
markdown2,pygments,#7e57c2,#d500f9,#d500f9,0,0,2023-12-19T21:22:53+05:30
pydemoapp2,pyyaml,#AEEA00,#D32F2F,#d500f9,9,0,2023-12-19T19:22:53+05:30
pydemoapp2,argon2-cffi-bindings,#AEEA00,#d500f9,#d500f9,0,2,2023-12-19T19:22:53+05:30
pydemoapp2,django-crispy-forms,#AEEA00,#d500f9,#d500f9,0,0,2023-12-19T19:22:53+05:30
pydemoapp2,requirements-txt,#AEEA00,#d500f9,#d500f9,0,0,2023-12-19T19:22:53+05:30
pydemoapp2,requests-oauthlib,#AEEA00,#d500f9,#f48fb1,0,4,2023-12-19T19:22:53+05:30
pydemoapp2,pillow,#AEEA00,#E64A19,#d500f9,8,1,2023-12-19T19:22:53+05:30
pydemoapp2,django-heroku,#AEEA00,#d500f9,#e91e63,0,9,2023-12-19T19:22:53+05:30
pydemoapp2,django-allauth,#AEEA00,#d500f9,#d500f9,0,0,2023-12-19T19:22:53+05:30
pydemoapp2,argon2-cffi,#AEEA00,#d500f9,#d500f9,0,1,2023-12-19T19:22:53+05:30
pydemoapp2,requests,#AEEA00,#fdd835,#d500f9,5,0,2023-12-19T19:22:53+05:30
